mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39.309235906600954,1.362469644039907,0.9599319458007812,0.05329067219517488,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9680459709498553,0.9706837381468981,0.9748411885245901,0.9737095688685311,0.9725713195114112,0.9719703572002573,0.0023951568403788727,4
85.8443844795227,1.068811811056019,1.6396581172943114,0.05221523206726569,10,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9682797432497589,0.9708566126245581,0.9752604668916748,0.974107200257152,0.9725345799180327,0.9722077205882353,0.0024612443490382428,2
45.83607025146485,4.2801692023834725,0.9260200977325439,0.0660908814146644,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9682609590967535,0.9705659856155577,0.9750115517518483,0.9740707620138218,0.9723111539697846,0.9720440824895533,0.0024282266725481976,3
97.25130462646484,1.0405762343210203,1.911069679260254,0.18768722078328665,10,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9683740155898425,0.9709800154693025,0.9753712883719061,0.9741943406460944,0.9725098692140791,0.9722859058582449,0.0024584590035138295,1
67.36408810615539,0.643296908593454,1.4908565998077392,0.12138997041320432,20,2,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9653622227579557,0.9691887405576984,0.9728865065493411,0.9721257483526198,0.9708434536724526,0.9700813343780135,0.0026719350081894455,8
118.72529320716858,7.866219749738678,1.5341335773468017,0.966482343763471,20,2,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9658866220668596,0.9691757825056252,0.973391368330119,0.9724585894808744,0.9710200196882031,0.9703864764143363,0.0026622875109578534,7
62.761078929901124,0.6345716891718185,1.3608073234558105,0.08223034102335852,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.967293550104468,0.9693560902844744,0.9729776398264224,0.9726148394808742,0.9712924903567985,0.9707069220106075,0.0021267370727204964,6
90.33144807815552,5.192599595035426,1.6523369789123534,1.093146229615512,20,5,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9673093709819993,0.9695821279331405,0.9735723541465767,0.973056769326583,0.9715582308743169,0.9710157706525233,0.002314683036888984,5
39.26821241378784,2.050260190573907,0.589625072479248,0.43862249288045435,,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9591666917791707,0.9616221421970428,0.9663485163532626,0.9668329114432659,0.9644198007071682,0.9636780124959821,0.0029056443438786345,12
75.00246162414551,0.6643058250082708,0.7409470081329346,0.056349119608999756,,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9612760165541627,0.9627559968659595,0.9682611097717775,0.967785981195757,0.9662981657827064,0.9652754540340727,0.002778704399971443,11
44.044482421875,10.221371914648348,0.4425830364227295,0.054873397324701687,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.963466831404693,0.9645133698971393,0.9696038251366121,0.9690094875040178,0.9680429574493733,0.9669272942783671,0.0024716749217316546,10
34.56000275611878,2.131418517385328,0.47193117141723634,0.07327462908313326,,5,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9638833222838317,0.9654878606155577,0.9709205741722919,0.9693601333976213,0.9685760456846673,0.9676455872307941,0.002582300626836039,9
